Episode CumulativeRegret StdDev
1 0.113285 0.000000
51 4.127070 0.927663
101 7.736409 2.395744
151 11.343016 3.886522
201 14.949622 5.380597
252 18.628361 6.905730
302 22.233191 8.404076
352 25.809564 9.916574
402 29.205715 11.256764
453 32.589902 13.007136
503 35.168458 14.287314
553 37.110710 15.280567
603 38.430989 15.800859
654 39.979271 16.971058
704 41.314193 18.165544
754 42.621156 19.385611
804 44.003974 20.486612
855 46.130221 20.774719
905 48.072625 21.291377
955 49.961959 21.926626
1005 51.881593 22.703718
1056 53.855757 23.535354
1106 55.551230 23.346704
1156 57.421486 23.278673
1206 59.406942 23.072715
1257 61.708436 22.744821
1307 64.342004 21.730967
1357 67.934829 20.524966
1407 71.556209 19.433096
1458 76.270658 18.922654
1508 81.217299 18.871604
1558 86.058327 18.613646
1608 90.601234 18.387146
1659 95.496269 18.417757
1709 99.746389 18.916118
1759 104.088361 20.153979
1809 108.515682 21.537845
1860 113.138814 23.470354
1910 117.538969 24.053236
1960 121.943136 24.229194
2010 125.970936 24.089237
2061 129.833456 24.852294
2111 133.871911 25.016979
2161 137.755263 25.153787
2211 141.411859 25.363834
2262 145.265746 26.066522
2312 149.025279 26.562526
2362 153.747327 25.767518
2412 158.926232 24.614806
2463 164.648950 23.640308
2513 170.212778 22.623019
2563 174.834451 22.087859
2613 179.342716 21.455895
2664 183.646555 20.701171
2714 188.271554 20.419358
2764 192.732277 20.636166
2814 196.616481 20.243833
2865 200.421865 20.351538
2915 204.359205 20.188728
2965 208.556160 20.593498
3015 212.806734 20.609156
3066 216.250575 19.382224
3116 219.853759 18.110102
3166 223.199374 17.369199
3216 226.947651 16.187535
3267 230.546948 15.560319
3317 233.800093 14.489968
3367 237.217193 13.569671
3417 240.441401 12.574588
3467 243.304724 11.601113
3518 246.329687 11.606878
3568 249.680247 12.206635
3618 253.058558 12.550795
3668 255.772765 12.966745
3719 259.111411 13.042058
3769 262.314487 13.241313
3819 265.203014 13.642784
3869 268.251490 13.444299
3920 271.081934 13.545969
3970 273.945360 13.868045
4020 277.383447 13.723989
4070 280.314145 14.045791
4121 283.573667 13.939759
4171 286.218122 13.790368
4221 289.411472 14.049691
4271 292.442751 14.423162
4322 295.353980 14.374883
4372 298.458177 14.376266
4422 301.755016 14.626074
4472 304.919425 14.907806
4523 307.780340 14.952716
4573 310.070496 15.465925
4623 312.352835 16.182548
4673 314.809164 16.329679
4724 317.653434 16.337499
4774 320.051543 16.422274
4824 322.660625 16.639511
4874 325.421243 16.401715
4925 327.929160 16.020181
4975 330.951360 15.043667
5025 333.787294 15.446773
5075 335.639189 15.655898
5126 337.521896 15.745896
5176 340.797408 16.500578
5226 343.618303 16.785648
5276 345.836222 17.115092
5327 348.242859 17.842396
5377 350.781337 17.922038
5427 354.043976 18.785092
5477 356.041001 18.950033
5528 358.783212 18.300395
5578 361.453341 17.823343
5628 364.409668 17.580154
5678 366.945485 17.671128
5729 369.172697 18.396361
5779 371.120205 18.419551
5829 374.399284 18.142176
5879 377.771121 18.432034
5930 380.837276 18.535560
5980 383.406625 19.023329
6030 385.619559 19.305467
6080 388.203754 18.986006
6131 390.714377 18.954058
6181 392.498239 18.612655
6231 395.531074 19.496950
6281 398.071562 19.654447
6332 400.494494 19.424571
6382 403.203575 19.755212
6432 405.705780 20.076798
6482 407.855518 19.654344
6533 410.741083 19.482868
6583 412.890948 19.649945
6633 414.970717 19.587862
6683 416.732931 19.954529
6733 419.567019 19.780196
6784 421.330495 19.993327
6834 423.850998 19.547958
6884 426.393693 19.765909
6934 429.882877 19.894499
6985 431.785500 19.882125
7035 433.723356 20.044732
7085 435.816610 19.982143
7135 438.573291 20.968397
7186 441.080613 21.061696
7236 443.541283 21.462937
7286 445.946525 21.887882
7336 448.950143 22.958199
7387 450.537621 22.851818
7437 453.267292 22.162948
7487 455.010451 22.301012
7537 456.926981 21.943076
7588 458.916108 21.688528
7638 461.266588 22.149169
7688 464.038996 22.573577
7738 466.297949 22.229984
7789 468.533149 22.607301
7839 471.005710 23.344375
7889 473.218798 23.496780
7939 475.488260 24.089278
7990 477.927747 24.804700
8040 479.922005 24.757844
8090 481.989124 24.656004
8140 483.686237 24.978696
8191 485.559995 24.466980
8241 487.481690 24.495265
8291 489.863153 25.208037
8341 491.922174 25.489121
8392 494.370467 26.117693
8442 495.898156 26.143349
8492 497.430024 25.923820
8542 500.243876 25.772666
8593 503.035289 26.059269
8643 504.959833 25.784680
8693 506.716281 25.769437
8743 508.640307 25.794384
8794 510.329012 26.114997
8844 512.396181 26.737031
8894 513.931719 26.542545
8944 516.075414 26.364447
8995 519.015112 26.338756
9045 520.556666 26.036641
9095 522.361756 26.093166
9145 524.528659 26.740781
9196 527.407860 26.460680
9246 529.370413 25.789765
9296 530.836745 25.804148
9346 532.231314 26.163595
9397 534.132386 26.356507
9447 535.807235 27.216569
9497 537.251173 27.062953
9547 539.401966 27.257242
9598 541.106736 27.259250
9648 542.995956 27.150801
9698 545.272793 27.562347
9748 547.284584 27.786995
9799 549.707471 27.862998
9849 551.748628 28.231748
9899 553.036242 28.384797
9949 554.150006 28.418884
10000 555.861783 29.187314
