Episode CumulativeRegret
1 0.005543
52632 1372.078775
105264 2376.719449
157895 2920.283814
210527 3341.400758
263158 3748.806416
315790 4096.512504
368421 4384.609626
421053 4669.521708
473684 4933.627514
526316 5208.059932
578947 5453.500061
631579 5681.583759
684210 5899.732180
736842 6097.096028
789473 6291.630522
842105 6482.366969
894736 6672.769812
947368 6860.729028
1000000 7038.807134
