Episode CumulativeRegret
1 0.005761
52632 1307.456504
105264 2298.920391
157895 3095.405639
210527 3812.578956
263158 4437.328128
315790 4999.208677
368421 5529.437507
421053 6052.711236
473684 6549.214444
526316 6988.392405
578947 7420.799766
631579 7874.917790
684210 8287.023237
736842 8675.231702
789473 9049.803297
842105 9412.437286
894736 9787.815560
947368 10148.304596
1000000 10481.249464
