Episode CumulativeRegret
1 0.101876
52632 1721.424667
105264 2521.597965
157895 3092.893189
210527 3561.921465
263158 3964.567196
315790 4306.272433
368421 4621.301560
421053 4901.941726
473684 5165.503778
526316 5423.698420
578947 5654.152826
631579 5900.969052
684210 6127.344061
736842 6350.627646
789473 6549.161996
842105 6744.693783
894736 6928.844846
947368 7153.675129
1000000 7332.516928
