# X_Value Mean_Improvement Std_Improvement
0.00000000 0.01998695 0.00114929
0.10000000 0.04553906 0.00250669
0.20000000 0.03162388 0.00244666
0.30000000 0.04129505 0.00326040
0.40000000 0.02488115 0.00618240
0.50000000 0.02785625 0.00107929
0.60000000 0.02168977 0.00109730
0.70000000 0.02613844 0.00209952
0.80000000 0.00619809 0.00099695
0.90000000 0.05169636 0.00452406
