# X_Value Mean_Improvement Std_Improvement
0.00000000 0.56593822 0.00240297
0.10000000 0.67143314 0.00246098
0.20000000 0.46775774 0.00117180
0.30000000 0.40436057 0.00329015
0.40000000 0.32633437 0.00503654
0.50000000 0.22777693 0.00111909
0.60000000 0.16751298 0.00189588
0.70000000 0.12176441 0.00246145
0.80000000 0.01614418 0.00091272
0.90000000 -0.00628210 0.00318782
