# X_Value Mean_Improvement Std_Improvement
0.00000000 0.59551172 0.00044660
0.10000000 0.73925411 0.00181539
0.20000000 0.59045886 0.00314310
0.30000000 0.62448235 0.00230566
0.40000000 0.60194433 0.00399658
0.50000000 0.62633446 0.00073700
0.60000000 0.60451464 0.00250415
0.70000000 0.60368296 0.00182128
0.80000000 0.55544857 0.00048666
0.90000000 0.61370382 0.00249573
