Episode CumulativeRegret StdDev
1 0.113285 0.000000
51 3.196077 0.858219
101 5.403655 1.985369
151 7.484099 3.063895
201 9.568773 4.170319
252 12.104095 4.811774
302 14.752262 4.997984
352 17.621154 5.514721
402 20.720515 6.331519
453 24.038130 7.398651
503 28.282006 9.215913
553 32.290609 10.422607
603 35.185520 9.962972
654 37.454705 9.523954
704 40.808550 8.485947
754 44.586789 7.056514
804 48.551336 5.881097
855 52.655440 4.856936
905 56.959000 4.233897
955 60.881989 4.082534
1005 64.515514 4.030943
1056 67.861985 4.355102
1106 70.595560 4.097750
1156 73.036943 4.578820
1206 75.461258 5.020195
1257 77.788647 4.787447
1307 80.538846 4.851489
1357 83.156419 4.969943
1407 85.799904 5.184330
1458 88.659189 5.643294
1508 91.236573 6.173932
1558 93.490418 6.584497
1608 96.376840 6.969626
1659 99.779994 7.896069
1709 103.393381 9.070620
1759 106.846746 10.743676
1809 110.567451 12.093653
1860 113.753106 13.800797
1910 117.329008 15.431295
1960 120.811539 17.008648
2010 125.047218 18.239267
2061 129.173337 19.236905
2111 132.707158 19.990065
2161 135.825803 20.816762
2211 139.140229 21.031478
2262 141.879533 21.557516
2312 144.866964 21.709399
2362 147.850809 22.446324
2412 151.389601 22.438903
2463 154.614955 22.503923
2513 157.807216 22.696484
2563 161.473386 23.114310
2613 164.620333 23.745933
2664 167.737725 23.940323
2714 170.812495 24.420714
2764 173.370212 24.772259
2814 176.222020 24.764738
2865 179.450316 25.120041
2915 182.752990 24.880020
2965 185.866424 25.286861
3015 189.419272 26.037595
3066 192.287975 26.322075
3116 195.786176 26.811595
3166 200.009165 26.314145
3216 203.892428 25.827527
3267 207.869211 25.837075
3317 211.581642 25.612139
3367 216.023320 25.553401
3417 220.749912 24.805156
3467 226.012342 23.082740
3518 230.959520 21.641713
3568 236.015709 20.443258
3618 240.896424 18.971756
3668 245.779942 17.799178
3719 251.260926 16.948342
3769 256.178056 15.695764
3819 261.132256 14.402438
3869 266.545643 13.154552
3920 271.319425 12.036925
3970 276.453329 11.112334
4020 281.579099 9.990198
4070 286.751863 9.163784
4121 291.081882 7.204981
4171 295.334833 5.613954
4221 300.444767 4.498313
4271 304.981059 3.651481
4322 309.280769 3.374613
4372 313.041974 3.779624
4422 316.188511 4.216530
4472 319.134065 4.437985
4523 321.755690 4.385482
4573 324.553827 3.871584
4623 327.460471 3.528187
4673 329.802617 3.591217
4724 332.059120 3.951445
4774 334.763869 3.968915
4824 337.508767 3.448614
4874 340.319631 2.929953
4925 343.203466 3.486232
4975 346.037005 2.708229
5025 348.987806 3.793357
5075 351.930949 3.326523
5126 355.076681 2.868447
5176 357.362565 2.894872
5226 360.241059 3.007219
5276 363.580942 3.603456
5327 366.692939 3.383116
5377 369.425835 4.075731
5427 372.250280 3.443258
5477 375.099442 3.595043
5528 377.383782 2.937492
5578 380.018072 2.864415
5628 383.249516 2.638710
5678 385.780838 2.865233
5729 388.216893 3.362295
5779 390.886820 3.792852
5829 393.867538 3.651073
5879 396.464287 3.132971
5930 398.974215 3.064474
5980 401.677559 2.936880
6030 404.063112 2.650287
6080 406.417091 2.641744
6131 408.605629 3.201876
6181 410.930071 3.020795
6231 413.386289 3.121082
6281 416.231509 3.186765
6332 419.606435 3.664500
6382 422.162347 3.811128
6432 424.134988 3.429826
6482 427.148940 3.335045
6533 429.938379 3.342649
6583 432.163274 3.661318
6633 434.601942 3.398541
6683 436.813051 2.649440
6733 439.570825 3.170601
6784 441.400877 2.408314
6834 444.451504 1.271254
6884 447.629024 0.700470
6934 451.086958 0.781937
6985 453.578925 0.770175
7035 455.686063 1.012942
7085 457.943225 0.752616
7135 460.461272 1.609565
7186 462.599916 1.689239
7236 464.833573 1.947438
7286 467.331338 1.983676
7336 469.917987 2.644510
7387 471.447925 2.423936
7437 473.018754 2.431431
7487 476.225835 2.838078
7537 478.152506 2.781189
7588 480.328776 3.420809
7638 482.761645 3.695100
7688 485.468891 3.170525
7738 487.793093 3.964253
7789 490.008544 3.604519
7839 492.346449 2.898633
7889 495.271766 2.696907
7939 497.769587 2.263540
7990 500.342631 1.897235
8040 502.469159 2.330246
8090 504.956844 2.144014
8140 507.386022 2.066614
8191 509.556056 1.066246
8241 511.534346 0.457325
8291 514.624009 1.027407
8341 517.206108 0.896469
8392 520.059053 1.237395
8442 522.528238 1.492998
8492 524.546141 1.389009
8542 525.929158 1.328334
8593 528.201012 1.357471
8643 530.954105 1.229072
8693 533.203440 1.290032
8743 535.170301 1.445917
8794 537.019988 1.892116
8844 538.276576 1.669921
8894 540.444433 2.258421
8944 542.193814 2.154488
8995 544.682026 2.932807
9045 546.388640 2.971745
9095 547.755215 3.076343
9145 549.260596 3.316487
9196 551.037759 3.323182
9246 553.369442 3.183100
9296 555.178931 4.015981
9346 556.578171 3.588043
9397 558.895384 3.754394
9447 560.857573 3.542023
9497 562.108831 3.344853
9547 564.554031 3.366297
9598 566.496835 3.299617
9648 568.959254 3.728389
9698 570.630387 4.707818
9748 572.126825 4.563078
9799 573.597425 4.333143
9849 576.102054 4.213808
9899 578.319642 4.007573
9949 580.863271 3.654496
10000 583.054681 3.687848
