Episode CumulativeRegret StdDev
1 0.005519 0.000000
51 0.281483 0.000000
101 0.557446 0.000000
151 0.833410 0.000000
201 1.109373 0.000000
252 1.390856 0.000000
302 1.666819 0.000000
352 1.942783 0.000000
402 2.218746 0.000000
453 2.500229 0.000000
503 2.776192 0.000000
553 3.052156 0.000000
603 3.328119 0.000000
654 3.609602 0.000000
704 3.885565 0.000000
754 4.161529 0.000000
804 4.437492 0.000000
855 4.718975 0.000000
905 4.994938 0.000000
955 5.270902 0.000000
1005 5.546865 0.000000
1056 5.828348 0.000000
1106 6.104312 0.000000
1156 6.380275 0.000000
1206 6.656238 0.000000
1257 6.937721 0.000000
1307 7.213685 0.000000
1357 7.489648 0.000000
1407 7.765612 0.000000
1458 8.047094 0.000000
1508 8.323058 0.000000
1558 8.599021 0.000000
1608 8.874985 0.000000
1659 9.156467 0.000000
1709 9.432431 0.000000
1759 9.708394 0.000000
1809 9.984358 0.000000
1860 10.265840 0.000000
1910 10.541804 0.000000
1960 10.817767 0.000000
2010 11.093731 0.000000
2061 11.375214 0.000000
2111 11.651177 0.000000
2161 11.927140 0.000000
2211 12.203104 0.000000
2262 12.484587 0.000000
2312 12.760550 0.000000
2362 13.036513 0.000000
2412 13.312477 0.000000
2463 13.593960 0.000000
2513 13.869923 0.000000
2563 14.145887 0.000000
2613 14.421850 0.000000
2664 14.703333 0.000000
2714 14.979296 0.000000
2764 15.255260 0.000000
2814 15.531223 0.000000
2865 16.019949 0.358956
2915 16.583751 0.857507
2965 17.147553 1.356057
3015 17.861031 1.785006
3066 18.729703 2.228069
3116 19.736776 2.590078
3166 20.876254 2.901473
3216 22.015733 3.259707
3267 23.264352 3.538735
3317 24.691669 3.538735
3367 26.118985 3.538735
3417 27.546302 3.538735
3467 28.973619 3.538735
3518 30.429482 3.538735
3568 31.856798 3.538735
3618 33.284115 3.538735
3668 34.711431 3.538735
3719 36.167294 3.538735
3769 37.594611 3.538735
3819 39.021928 3.538735
3869 40.449244 3.538735
3920 41.905107 3.538735
3970 43.332424 3.538735
4020 44.759740 3.538735
4070 46.187057 3.538735
4121 47.642920 3.538735
4171 49.070237 3.538735
4221 50.497553 3.538735
4271 51.924870 3.538735
4322 53.380733 3.538735
4372 54.808049 3.538735
4422 56.235366 3.538735
4472 57.662683 3.538735
4523 59.118546 3.538735
4573 60.545862 3.538735
4623 61.955130 3.532908
4673 63.196866 3.465735
4724 64.061764 3.167454
4774 64.673666 3.097964
4824 65.178619 3.094552
4874 65.565916 3.034887
4925 65.866028 2.927559
4975 66.160255 2.826646
5025 66.454482 2.730479
5075 66.748709 2.639574
5126 66.971554 2.627299
5176 67.177979 2.627299
5226 67.384403 2.627299
5276 67.590828 2.627299
5327 67.801381 2.627299
5377 67.970621 2.565851
5427 68.157023 2.532824
5477 68.363447 2.532824
5528 68.525375 2.452807
5578 68.684127 2.374641
5628 68.842879 2.296783
5678 69.001631 2.219266
5729 69.182627 2.171393
5779 69.345193 2.100644
5829 69.551618 2.100644
5879 69.721811 2.042481
5930 69.883739 1.964865
5980 70.042491 1.889320
6030 70.201243 1.814388
6080 70.359995 1.740147
6131 70.521922 1.665230
6181 70.789758 1.558016
6231 71.323563 1.562910
6281 71.845928 1.811418
6332 72.378739 2.244832
6382 72.901103 2.765475
6432 73.430739 3.328581
6482 74.316715 3.598438
6533 75.244154 4.001235
6583 76.277399 4.423498
6633 77.562079 4.795906
6683 78.858168 5.221117
6733 80.169003 5.684230
6784 81.793688 5.823111
6834 83.507859 5.830575
6884 85.198242 5.826696
6934 86.881828 5.766184
6985 88.583268 5.709504
7035 90.240518 5.657923
7085 91.897768 5.607154
7135 93.589000 5.601198
7186 95.357555 5.588182
7236 97.086168 5.567374
7286 98.828375 5.567374
7336 100.539997 5.520636
7387 102.314499 5.516747
7437 104.056705 5.516747
7487 105.798911 5.516747
7537 107.500339 5.466888
7588 109.150804 5.416855
7638 110.787665 5.393900
7688 112.463605 5.401009
7738 114.120855 5.416394
7789 115.799357 5.402931
7839 117.487191 5.403007
7889 119.104512 5.390580
7939 120.719284 5.375090
7990 122.388440 5.394921
8040 124.016805 5.402587
8090 125.657212 5.365939
8140 127.268917 5.410236
8191 128.937422 5.403737
8241 130.535183 5.426329
8291 132.185761 5.373523
8341 133.713799 5.238847
8392 134.880935 5.364844
8442 136.208112 5.197604
8492 137.136903 5.062495
8542 137.771557 4.907206
8593 138.600043 5.085792
8643 139.211660 4.982778
8693 139.878560 4.978510
8743 140.794952 4.850357
8794 141.411219 4.909020
8844 142.480318 4.998325
8894 143.564806 5.027534
8944 144.578446 4.762785
8995 145.371052 4.538971
9045 146.047912 4.531182
9095 146.678050 4.676331
9145 147.510494 4.509793
9196 148.472672 4.326581
9246 149.455345 4.560031
9296 150.165335 4.469571
9346 150.789647 4.364737
9397 151.641745 4.390175
9447 152.676966 4.315678
9497 153.498435 4.357471
9547 154.220149 4.424089
9598 154.755739 4.500483
9648 155.618692 4.143642
9698 156.476291 4.363216
9748 157.389439 4.146242
9799 158.364755 4.126294
9849 159.108344 4.217601
9899 160.095532 4.428126
9949 161.279215 4.905483
10000 162.503191 5.404350
