Episode CumulativeRegret
1 0.000507
52632 195.353866
105264 879.277823
157895 1126.538235
210527 1317.206759
263158 1470.487688
315790 1615.298987
368421 1745.508664
421053 1869.697394
473684 1986.213214
526316 2084.194058
578947 2178.357397
631579 2270.650151
684210 2367.772708
736842 2448.754922
789473 2531.205760
842105 2590.304263
894736 2655.859360
947368 2720.681135
1000000 2792.176691
