Episode CumulativeRegret
1 0.113285
52632 1463.294070
105264 1887.872294
157895 2172.603741
210527 2397.620139
263158 2614.592845
315790 2808.789109
368421 2989.998651
421053 3162.604720
473684 3325.958167
526316 3471.708165
578947 3626.577536
631579 3757.341252
684210 3901.460697
736842 4040.810467
789473 4171.870946
842105 4296.080180
894736 4421.879977
947368 4540.248542
1000000 4646.172162
