# X_Value Mean_Improvement Std_Improvement
0.01000000 0.18198838 0.00111536
0.01668101 0.50608795 0.00078144
0.02782559 0.54972118 0.00059554
0.04641589 0.64722705 0.00121580
0.07742637 0.71930755 0.00222173
0.12915497 0.67424722 0.00057088
0.21544347 0.63707042 0.00168268
0.35938137 0.50844773 0.00730563
0.59948425 0.59982175 0.00238338
1.00000000 0.57101564 0.01370821
