# X_Value Mean_Improvement Std_Improvement
0.01000000 0.00148345 0.00099505
0.01668101 0.01002507 0.00084287
0.02782559 0.00899099 0.00084512
0.04641589 0.03410083 0.00179075
0.07742637 0.03990601 0.00323153
0.12915497 0.05651189 0.00404742
0.21544347 0.08771264 0.00477498
0.35938137 0.25626040 0.00530048
0.59948425 0.11486574 0.00695185
1.00000000 0.18503057 0.01614412
