# X_Value Mean_Improvement Std_Improvement
0.01000000 -0.00117954 0.00080261
0.01668101 -0.00347868 0.00236153
0.02782559 0.01255956 0.00064326
0.04641589 0.01917399 0.00153060
0.07742637 -0.00837124 0.00296357
0.12915497 0.11182755 0.00376666
0.21544347 0.15021839 0.00312216
0.35938137 0.07976229 0.00613728
0.59948425 0.09808359 0.00955052
1.00000000 0.25670127 0.01762074
