Episode CumulativeRegret
1 0.113285
52632 1484.191996
105264 1904.206445
157895 2172.427558
210527 2392.926672
263158 2584.412054
315790 2759.894482
368421 2923.747789
421053 3077.803705
473684 3214.030796
526316 3351.542640
578947 3474.352295
631579 3589.791863
684210 3695.840043
736842 3798.070046
789473 3908.087192
842105 4001.362954
894736 4102.185096
947368 4201.729541
1000000 4293.329753
